names	delta	sd_delta	Pval	Padj
ENSG00000237683	-0.25050450446155176	-3.7297865679311246	0.9999041789822475	1.0
ENSG00000187634	-0.5031241988285214	-11.245468859392158	1.0	1.0
ENSG00000187961	0.03228048792492659	0.531531976307734	0.29752509441566294	0.9601817471002465
ENSG00000187583	-1.606252195902271	-27.347791612246656	1.0	1.0
ENSG00000187608	-0.6878079602842812	-10.573653588712743	1.0	1.0
ENSG00000188157	-3.158380630725873	-28.223177978907017	1.0	1.0
ENSG00000237330	-1.1269294991999887	-17.556015796055988	1.0	1.0
ENSG00000131591	-0.003552579329963938	-0.06752224953541279	0.5269170250619475	1.0
ENSG00000162571	-0.327711109620722	-5.528684919369507	0.999999983867989	1.0
ENSG00000186891	-4.153444900319493	-34.391742814018	1.0	1.0
ENSG00000184163	-0.6350220717547271	-12.804379563747494	1.0	1.0
ENSG00000162572	1.453056741700317	25.443024679691412	4.216464027485315e-143	6.476921857326007e-142
ENSG00000169962	-0.3292038438626424	-6.184016716646828	0.9999999996875463	1.0
ENSG00000107404	0.3309840264255082	5.592340362225386	1.1201455171100134e-8	4.710818760749267e-8
ENSG00000162576	-0.3807084645642313	-5.879851169424413	0.9999999979468224	1.0
ENSG00000224870	-0.08107278438926088	-1.7029321571043414	0.9557096173562147	1.0
ENSG00000235098	-0.28153785902772704	-6.549616704934615	0.9999999999711575	1.0
ENSG00000179403	-0.5189360004814872	-10.223659490915955	1.0	1.0
ENSG00000215915	3.4207807765474234	37.433084908131136	5.660401481180193e-307	2.677238263354483e-305
ENSG00000160072	-0.33207234386921186	-6.551297353222887	0.9999999999714804	1.0
ENSG00000205090	0.22106852831267026	4.698646650953357	1.3094555230187766e-6	5.240398745996827e-6
ENSG00000215014	1.3389631476506614	25.68979622168175	7.599380085070069e-146	1.1907256715728434e-144
ENSG00000228594	-0.004223325092411726	-0.06960149345873794	0.5277445758913356	1.0
ENSG00000197530	-1.466713221818261	-19.506633987508454	1.0	1.0
