names	delta	sd_delta	Pval	Padj
ENSG00000237683	-0.6334835457156603	-10.357503759330756	1.0	1.0
ENSG00000187634	-0.6994979704374229	-16.493612328310395	1.0	1.0
ENSG00000187961	-0.4245643378781862	-7.832408488020655	0.9999999999999976	1.0
ENSG00000187583	-1.7432751406973328	-30.01611842530762	1.0	1.0
ENSG00000187608	-0.7516829302971516	-11.857941120752391	1.0	1.0
ENSG00000188157	-3.345432926160111	-31.09109162189478	1.0	1.0
ENSG00000237330	-1.2475436217925058	-19.396526099580345	1.0	1.0
ENSG00000131591	-0.2614392260045153	-5.555391325432264	0.9999999861504748	1.0
ENSG00000162571	-0.6890286228030805	-12.670130451517856	1.0	1.0
ENSG00000186891	-4.816997282601801	-37.19459975453309	1.0	1.0
ENSG00000184163	-0.8198944558934157	-17.132684631797705	1.0	1.0
ENSG00000162572	0.9210597914544851	19.20492538349493	1.6830366256069288e-82	2.0873759124905447e-81
ENSG00000169962	-0.48402521813778787	-9.224864403634747	1.0	1.0
ENSG00000107404	-0.02033453878136644	-0.37739987662706925	0.6470617707233373	1.0
ENSG00000162576	-0.7503392423571297	-12.586714296638625	1.0	1.0
ENSG00000224870	-0.23722352487548237	-5.252647211209649	0.9999999250357277	1.0
ENSG00000235098	-0.42945831784945043	-10.744833762034233	1.0	1.0
ENSG00000179403	-0.6789920228834185	-14.112794235788792	1.0	1.0
ENSG00000215915	2.7172429465171306	40.00699855251661	0.0	0.0
ENSG00000160072	-0.5711866685823674	-12.076567092169132	1.0	1.0
ENSG00000205090	0.21325498421063224	4.745186860148222	1.041569713898586e-6	5.4127562546492685e-6
ENSG00000215014	0.9193979107877911	22.044076943878043	5.443901706907577e-108	8.165852560361365e-107
ENSG00000228594	-0.2649518152045372	-4.749281660908974	0.9999989792976952	1.0
ENSG00000197530	-1.851545680124492	-26.857207720300266	1.0	1.0
ENSG00000248333	0.11434580056633471	1.6946175825064078	0.04507399472168797	0.1968237553969801
ENSG00000189339	0.0424512823731834	0.7654400760119731	0.22200476828356083	0.9276041468544839
ENSG00000008128	2.2898795420888125	35.77220521127258	1.4942187916873746e-280	6.411900890911645e-279
ENSG00000215790	-0.28852615504939727	-6.111127426144938	0.9999999995053513	1.0
ENSG00000008130	-1.8922834433730937	-25.104189899697296	1.0	1.0
ENSG00000178821	-0.6622813891258112	-11.307453289687528	1.0	1.0
ENSG00000142609	-0.6373712863495298	-14.418206454234271	1.0	1.0
ENSG00000187730	-1.4795671628281457	-22.216833416500975	1.0	1.0
ENSG00000067606	-1.460681230868084	-19.26288328919741	1.0	1.0
ENSG00000162585	-1.495125941721207	-27.86567665700297	1.0	1.0
ENSG00000269554	-0.9086672089086305	-21.047828233607994	1.0	1.0
ENSG00000203301	-1.5813821190179689	-30.46143259376341	1.0	1.0
ENSG00000157933	-1.0501269874339527	-15.246510243271258	1.0	1.0
ENSG00000116151	-0.7661187659425958	-13.07192821200049	1.0	1.0
ENSG00000157911	0.46603472362663595	12.137351465216565	3.3479227971813183e-34	2.674656311652318e-33
ENSG00000157873	-0.7555157442707504	-14.915245064726102	1.0	1.0
ENSG00000157870	0.838850796927024	15.63715696242073	2.0323729847434503e-55	2.0403981495400682e-54
ENSG00000142606	-0.0014144951122085855	-0.033569719531299884	0.513389865516946	1.0
ENSG00000215912	0.5561387403525891	13.189033483699	5.073896142684623e-40	4.3730104890764935e-39
ENSG00000169717	-0.19088728487731266	-3.7901451051217605	0.9999247203470891	1.0
ENSG00000142611	-1.1268662414590143	-24.501998509645617	1.0	1.0
ENSG00000130762	0.10542599109588835	2.2090826372479238	0.013584446781639831	0.06104897205889399
ENSG00000162591	-0.26158929699659095	-5.222039985442639	0.9999999115186278	1.0
ENSG00000116213	-0.18015226135303947	-3.4324185679393118	0.9997008882489727	1.0
ENSG00000078900	-2.879606760110461	-30.61235466321494	1.0	1.0
ENSG00000235169	0.19321210763805932	4.5320509473704655	2.920687820846529e-6	1.5062573599396148e-5
ENSG00000169598	0.4339421840829738	9.382267772542495	3.2284378026241167e-21	2.1772687302843016e-20
ENSG00000196581	-1.0937393870707741	-17.025654614483447	1.0	1.0
ENSG00000131697	-0.8959180484838833	-13.423432973055256	1.0	1.0
ENSG00000069424	-2.3022015339599524	-24.531067023559157	1.0	1.0
ENSG00000116254	0.6668440047605231	13.596858962633771	2.090016441867804e-42	1.8403001916706118e-41
ENSG00000116251	-0.733881716723428	-3.284572358076011	0.9994893136608853	1.0
