names	delta	sd_delta	Pval	Padj
ENSG00000237683	-0.2655818779118652	-3.9576641361089027	0.9999621568611534	1.0
ENSG00000187634	-0.5259598574913357	-11.76304388708237	1.0	1.0
ENSG00000187961	0.03697196366165596	0.6090572646430756	0.27124324132564	0.8811505679869353
ENSG00000187583	-1.6001205089938615	-27.417396913065353	1.0	1.0
ENSG00000187608	-0.6906544053517747	-10.607810706552765	1.0	1.0
ENSG00000188157	-3.158203782809739	-28.264617557105943	1.0	1.0
ENSG00000237330	-1.141154743737439	-17.69488989219281	1.0	1.0
ENSG00000131591	0.017119823196683367	0.3257152995734273	0.3723198837862194	1.0
ENSG00000162571	-0.3172138491356523	-5.337071474150631	0.9999999527700943	1.0
ENSG00000186891	-4.250438491077712	-34.45035643981566	1.0	1.0
ENSG00000184163	-0.6172747115562695	-12.408167185170452	1.0	1.0
ENSG00000162572	1.444596905837964	25.337880842731018	6.111606914561158e-142	9.261224904211305e-141
ENSG00000169962	-0.3884463721750482	-7.248296263225269	0.999999999999789	1.0
ENSG00000107404	0.3279330825389112	5.533078537483012	1.57329245576655e-8	6.580517355094316e-8
ENSG00000162576	-0.370098148445228	-5.720573151919753	0.9999999946917346	1.0
ENSG00000224870	-0.08496055838824008	-1.7833592144132024	0.9627360760167278	1.0
ENSG00000235098	-0.2690545043449182	-6.255856122422815	0.9999999998023295	1.0
ENSG00000179403	-0.517502766038644	-10.20036393712821	1.0	1.0
ENSG00000215915	3.400018362921597	37.34805243740993	1.3634360227657925e-305	6.388671649531141e-304
ENSG00000160072	-0.331585054066473	-6.5418110917854175	0.9999999999696109	1.0
ENSG00000205090	0.23415166491064943	4.976146451284162	3.2431290264725987e-7	1.320101518862025e-6
ENSG00000215014	1.3295398702631982	25.531044696391945	4.458309998417352e-144	6.910380497546895e-143
ENSG00000228594	-0.00701935641893122	-0.11573318215775748	0.5460679963061315	1.0
ENSG00000197530	-1.4600411856939681	-19.492680499304047	1.0	1.0
ENSG00000248333	0.18425947131769513	2.650242277287083	0.004021703403001398	0.01445992934997108
ENSG00000189339	0.1873858223031015	3.1491873999032864	0.0008186258357526344	0.0030312408950956982
ENSG00000008128	2.4183343269390414	34.97351359427579	2.8437764506977244e-268	1.0401265809602324e-266
ENSG00000215790	0.13784749304433436	2.573803668555675	0.005029366687924374	0.017993877720906066
ENSG00000008130	-1.6875585635239958	-21.72633743563577	1.0	1.0
ENSG00000178821	-0.3574064955588478	-5.69672349371226	0.999999993893412	1.0
ENSG00000142609	-0.3981881740551806	-8.402410342439472	1.0	1.0
ENSG00000187730	-1.2140665206252177	-17.095148884572538	1.0	1.0
ENSG00000067606	-1.2015304495405468	-15.137147847488123	1.0	1.0
ENSG00000162585	-1.382518882331984	-24.87384656626676	1.0	1.0
ENSG00000269554	-0.8346115841623013	-18.14012243346702	1.0	1.0
ENSG00000203301	-1.444907117153295	-26.828105367170796	1.0	1.0
ENSG00000157933	-0.702157877213081	-9.552038610248546	1.0	1.0
ENSG00000116151	-0.4150783524249703	-6.623078045997026	0.9999999999824103	1.0
ENSG00000157911	0.6454797223698711	15.11282703610136	6.6648038593191456e-52	4.871871002268661e-51
ENSG00000157873	-0.5527885176851567	-10.825668211342027	1.0	1.0
ENSG00000157870	1.001083730083925	17.425902643805173	2.623690999885759e-68	2.2762534203787033e-67
ENSG00000142606	0.11375077908679697	2.5485635381595664	0.0054083790388334075	0.019329489654431663
ENSG00000215912	1.0041658019571842	20.649337105868586	4.948423194130706e-95	5.335691096280066e-94
ENSG00000169717	-0.08734196911586047	-1.6762117833132095	0.9531516415258745	1.0
ENSG00000142611	-0.8915759075620096	-18.385298680469216	1.0	1.0
ENSG00000130762	0.27078470638182817	5.268595283346038	6.873583991130778e-8	2.838773437116887e-7
ENSG00000162591	0.1628324361847665	2.8747705643634243	0.0020216059309982708	0.0073597168300717575
ENSG00000116213	0.007872509278470814	0.14208063717283997	0.44350815615215633	1.0
ENSG00000078900	-2.4322137692928423	-24.023085044989244	1.0	1.0
ENSG00000235169	0.5617418234604723	11.586600613335332	2.4094010610294016e-31	1.3927680493773141e-30
ENSG00000169598	0.8173190785241488	15.78621379494132	1.9356503789729677e-56	1.4842905771792712e-55
ENSG00000196581	-0.7108661521814982	-10.192296633678216	1.0	1.0
ENSG00000131697	-0.5383714345189938	-7.600562255227558	0.9999999999999852	1.0
ENSG00000069424	-1.8828315081408211	-18.936440562784078	1.0	1.0
ENSG00000116254	1.197041971754875	20.118463442048096	2.54299027278783e-90	2.622426480091953e-89
ENSG00000116251	-0.6937508488613234	-3.0734878016654075	0.9989421383140762	1.0
ENSG00000158286	-2.208275148949333	-32.584130950347976	1.0	1.0
ENSG00000173673	-1.3272243768883536	-24.98882231780324	1.0	1.0
ENSG00000158292	-0.6225530589322973	-9.777626998805726	1.0	1.0
ENSG00000097021	-0.2209650059091611	-2.406697272353099	0.9919512463019866	1.0
ENSG00000069812	-1.0094288664051279	-20.222158796613755	1.0	1.0
ENSG00000187017	-1.1970024653118772	-15.837490819096065	1.0	1.0
ENSG00000215788	-0.5824101672929616	-8.228662031721385	0.9999999999999999	1.0
ENSG00000171680	-1.1769275051784611	-13.846596053445774	1.0	1.0
ENSG00000162408	1.7712639643246864	22.70980166567472	1.7922824668533704e-114	2.2415655747804513e-113
