names	delta	sd_delta	Pval	Padj
ENSG00000237683	-0.29404923022245544	-4.453287301732489	0.9999957717261309	1.0
ENSG00000187634	-0.5658205372332017	-12.576231609837514	1.0	1.0
ENSG00000187961	0.014003178625726526	0.2333200379276422	0.40775644996257976	1.0
ENSG00000187583	-1.6395205044595145	-27.73206144902801	1.0	1.0
ENSG00000187608	-0.6940604688748678	-10.64999589818441	1.0	1.0
ENSG00000188157	-3.1573392395273787	-28.228618728156196	1.0	1.0
ENSG00000237330	-1.1699312630362453	-18.029425908787584	1.0	1.0
ENSG00000131591	-0.009220871443590541	-0.17682495032011933	0.5701770548303206	1.0
ENSG00000162571	-0.354468249915168	-5.985718349557606	0.9999999989228155	1.0
ENSG00000186891	-4.454156967037564	-35.22853805062876	1.0	1.0
ENSG00000184163	-0.6292327977126101	-12.690329572546656	1.0	1.0
ENSG00000162572	1.4762607360744993	25.679998384518342	9.777691690642771e-146	1.529832684520569e-144
ENSG00000169962	-0.45153723867232576	-8.384612118287757	1.0	1.0
ENSG00000107404	0.3131320917007072	5.313203621112601	5.3857280811615436e-8	2.2568131267166419e-7
ENSG00000162576	-0.41726981800358975	-6.496148836842116	0.999999999958799	1.0
ENSG00000224870	-0.07844180380382586	-1.6477249196816153	0.9502954340126719	1.0
ENSG00000235098	-0.2582189127316526	-5.99986803154792	0.9999999990126102	1.0
ENSG00000179403	-0.5158047183151725	-10.187491032107433	1.0	1.0
ENSG00000215915	3.3517460420527265	37.69507209353644	2.9908672965566e-311	1.40171061778712e-309
ENSG00000160072	-0.33724576824633434	-6.665187982001337	0.9999999999867837	1.0
ENSG00000205090	0.17716089734942517	3.7749464335474125	8.002102519843725e-5	0.0003109720390783748
ENSG00000215014	1.2924064352136553	25.35778925707427	3.6868467384280496e-142	5.613058582307375e-141
ENSG00000228594	-0.026391261433380626	-0.43707548854811035	0.6689716985512336	1.0
ENSG00000197530	-1.5009500942140643	-20.1772348359204	1.0	1.0
ENSG00000248333	0.18137216646722792	2.6104654067009823	0.004520955818894903	0.01641489492258521
ENSG00000189339	0.19486617861236663	3.282897857744716	0.0005137294325345129	0.001937918519612758
ENSG00000008128	2.408271646335678	34.91465414854442	2.227809604254873e-267	7.97775481523664e-266
ENSG00000215790	0.09668933740249366	1.8315584883047296	0.03350861312612868	0.11666641406803445
ENSG00000008130	-1.675450066454949	-21.701796453307207	1.0	1.0
ENSG00000178821	-0.3780420925377473	-6.077778588317499	0.9999999993907057	1.0
ENSG00000142609	-0.39854497629111496	-8.40540844502734	1.0	1.0
ENSG00000187730	-1.2247070092047472	-17.184823792690924	1.0	1.0
ENSG00000067606	-1.1963139345033789	-15.174472240478222	1.0	1.0
ENSG00000162585	-1.3795938376450205	-24.820410588752875	1.0	1.0
ENSG00000269554	-0.799913449474663	-17.465098060276976	1.0	1.0
ENSG00000203301	-1.4748081091324008	-27.30103974256224	1.0	1.0
ENSG00000157933	-0.7398752373640625	-10.12868820376205	1.0	1.0
ENSG00000116151	-0.45095057437151115	-7.239733407246798	0.9999999999997752	1.0
ENSG00000157911	0.635807163784567	14.940923596913636	8.924208855734414e-51	6.529439141209999e-50
ENSG00000157873	-0.663000802634432	-12.74496026978402	1.0	1.0
ENSG00000157870	1.0019685357808987	17.417433163543144	3.042311449816661e-68	2.635460600054126e-67
